1,77,,"funkcjonalność jakość waga wydajność wygląd","Komputer dobry dla podstawowych biurowych lub domowych funkcji. Świetnie sprawdza się przy sporządzaniu różnego typu dokumentów, ale można na nim robić wiele innych rzeczy. Dzięki dużemu ekranowi i dobrej grafice świetnie nadaje się do oglądania multimediów. Idealny do codziennego surfowania po Internecie. Dzięki nowoczesnemu designowi wygląda bardzo profesjonalnie i biznesowo.","4,5/5",Anynolerer,"Wystawiono 9 miesięcy temu",Polecam,6,5,3727381
2,77,,,"mam go pierwszy dzien..coz moge powiedziec...na razie jestem zadowolona..",4/5,anna,"Wystawiono 2 miesiące temu",Polecam,0,0,4249711
3,77,,"funkcjonalność waga wygląd","Bardzo dobry laptop dla kogoś, kto wykorzystuje przede wszystkim jego funkcje biurowe (emaile, edytowanie tekstów, tworzenie prezentacji) oraz surfuje po internecie (nie nadaje się do gier). Ma bardzo ładny wygląd. Jestem z niego bardzo zadowolony.","4,5/5","Użytkownik Ceneo","Wystawiono 8 miesięcy temu",Polecam,4,2,3787601
4,77,,"jakość wydajność wygląd","Sprzęt bardzo cichy i szybko (płynnie) działa. Niemniej zastanawiające jest zasilanie- raz ładuje, raz nie.",4/5,Tomasz,"Wystawiono 4 miesiące temu",Polecam,1,0,3986786
5,77,,,"Jestem zadowolona z Laptopa ASUS R540SA-XX022T . Bardzo dobrze pracuje. Polecam.",5/5,"Użytkownik Ceneo","Wystawiono 5 miesięcy temu",Polecam,0,1,3933316
6,77,,,"Manjsjsjajgigigifufufujgjjvjjvucjcjvuvfvccffxxjcjcfffgffffffdddddfffdddfddfddwedddrf .",1/5,"Użytkownik Ceneo","Wystawiono tydzień temu",,0,0,4341427
7,77,,,"Bardzo dobry zakup",5/5,Irek,"Wystawiono miesiąc temu",Polecam,0,0,4293914
8,77,,,,5/5,"Odwrotność Marsa","Wystawiono miesiąc temu",Polecam,0,0,4292471
9,77,,,"super sprzęt",5/5,Mariola,"Wystawiono 2 miesiące temu",Polecam,0,0,4289667
10,77,,,Polecam,4/5,user,"Wystawiono 2 miesiące temu",Polecam,0,0,4235543
